"DISORDER"	"SAMPLEID"	"PVALUE"	"FDR"
"Hypospadias(C0848558)"	2527	"5.59310004996106e-10"	0.0001474817
"Hypospadias(C0848558)"	2527	"5.59310004996106e-10"	0.0001474817
"Mood Disorders(C0525045)"	2032	"5.742267509837e-10"	0.0001514138
"Mood Disorders(C0525045)"	2032	"5.742267509837e-10"	0.0001514138
"Mood Disorders(C0525045)"	1923	"5.89309268020521e-10"	0.0001553897
"Mood Disorders(C0525045)"	1923	"5.89309268020521e-10"	0.0001553897
"Schizophrenia(C0036341)"	3324	"7.11237790154949e-10"	0.000187537
"Schizophrenia(C0036341)"	3324	"7.11237790154949e-10"	0.000187537
"Anorexia Nervosa(C0003125)"	2563	"7.33831640336828e-10"	0.0001934931
"Anorexia Nervosa(C0003125)"	2563	"7.33831640336828e-10"	0.0001934931
"Epilepsy(C0014544)"	3319	"7.52560648818211e-10"	0.0001984299
"Epilepsy(C0014544)"	3319	"7.52560648818211e-10"	0.0001984299
"Eating Disorders(C0013473)"	3673	"7.92470828866179e-10"	0.0002089516
"Eating Disorders(C0013473)"	3673	"7.92470828866179e-10"	0.0002089516
"Schizophrenia(C0036341)"	1704	"8.26216473356994e-10"	0.0002178477
"Schizophrenia(C0036341)"	1704	"8.26216473356994e-10"	0.0002178477
"Obsessive-Compulsive Disorder(C0028768)"	2017	"8.49658178050018e-10"	0.0002240268
"Obsessive-Compulsive Disorder(C0028768)"	2017	"8.49658178050018e-10"	0.0002240268
"Borderline Personality Disorder(C0006012)"	3338	"8.55661303557259e-10"	0.0002256079
"Borderline Personality Disorder(C0006012)"	3338	"8.55661303557259e-10"	0.0002256079
"Autistic Disorder(C0004352)"	3322	"8.76923341294064e-10"	0.0002312122
"Autistic Disorder(C0004352)"	3322	"8.76923341294064e-10"	0.0002312122
"Mood Disorders(C0525045)"	1890	"8.82200260102256e-10"	0.0002326018
"Mood Disorders(C0525045)"	1890	"8.82200260102256e-10"	0.0002326018
"Mood Disorders(C0525045)"	1882	"8.96324893435732e-10"	0.0002363241
"Mood Disorders(C0525045)"	1882	"8.96324893435732e-10"	0.0002363241
"Eating Disorders(C0013473)"	1977	"9.43916572209982e-10"	0.0002488702
"Eating Disorders(C0013473)"	1977	"9.43916572209982e-10"	0.0002488702
"Bipolar Disorder(C0005586)"	3322	"9.60942636694166e-10"	0.0002533573
"Bipolar Disorder(C0005586)"	3322	"9.60942636694166e-10"	0.0002533573
"Autistic Disorder(C0004352)"	3670	"9.93286892049187e-10"	0.0002618831
"Autistic Disorder(C0004352)"	3670	"9.93286892049187e-10"	0.0002618831
"Mental Retardation(C0025362)"	3318	"1.00655486501557e-09"	0.0002653792
"Mental Retardation(C0025362)"	3318	"1.00655486501557e-09"	0.0002653792
"Schizophrenia(C0036341)"	1833	"1.0276348722626e-09"	0.0002709349
"Schizophrenia(C0036341)"	1833	"1.0276348722626e-09"	0.0002709349
"Schizophrenia(C0036341)"	1777	"1.033987334337e-09"	0.0002726077
"Schizophrenia(C0036341)"	1777	"1.033987334337e-09"	0.0002726077
"Bipolar Disorder(C0005586)"	1923	"1.04923859086887e-09"	0.0002766265
"Bipolar Disorder(C0005586)"	1923	"1.04923859086887e-09"	0.0002766265
"Alcoholism(C0001973)"	3250	"1.07530277400907e-09"	0.000283496
"Alcoholism(C0001973)"	3250	"1.07530277400907e-09"	0.000283496
"Borderline Personality Disorder(C0006012)"	3596	"1.11287902429761e-09"	0.0002934005
"Borderline Personality Disorder(C0006012)"	3596	"1.11287902429761e-09"	0.0002934005
"CADASIL(C0751587)"	1772	"1.13195146743076e-09"	0.0002984243
"CADASIL(C0751587)"	1772	"1.13195146743076e-09"	0.0002984243
"Eating Disorders(C0013473)"	2527	"1.13987950615826e-09"	0.0003005121
"Eating Disorders(C0013473)"	2527	"1.13987950615826e-09"	0.0003005121
"Anorexia Nervosa(C0003125)"	3338	"1.16534702808918e-09"	0.0003072239
"Anorexia Nervosa(C0003125)"	3338	"1.16534702808918e-09"	0.0003072239
"Personality Disorders(C0031212)"	1888	"1.20671947951451e-09"	0.0003181287
"Personality Disorders(C0031212)"	1888	"1.20671947951451e-09"	0.0003181287
"Borderline Personality Disorder(C0006012)"	3255	"1.21378154436159e-09"	0.000319988
"Borderline Personality Disorder(C0006012)"	3255	"1.21378154436159e-09"	0.000319988
"Obsessive-Compulsive Disorder(C0028768)"	3098	"1.22481208336443e-09"	0.0003228935
"Obsessive-Compulsive Disorder(C0028768)"	3098	"1.22481208336443e-09"	0.0003228935
"Eating Disorders(C0013473)"	2496	"1.23431885954254e-09"	0.0003253973
"Eating Disorders(C0013473)"	2496	"1.23431885954254e-09"	0.0003253973
"Alcoholism(C0001973)"	3101	"1.2395779364419e-09"	0.0003267813
"Alcoholism(C0001973)"	3101	"1.2395779364419e-09"	0.0003267813
"Personality Disorders(C0031212)"	1923	"1.26115334050153e-09"	0.0003324665
"Personality Disorders(C0031212)"	1923	"1.26115334050153e-09"	0.0003324665
"Eating Disorders(C0013473)"	3327	"1.27985652270765e-09"	0.0003373945
"Eating Disorders(C0013473)"	3327	"1.27985652270765e-09"	0.0003373945
"Anorexia Nervosa(C0003125)"	3456	"1.38803850125433e-09"	0.0003659105
"Anorexia Nervosa(C0003125)"	3456	"1.38803850125433e-09"	0.0003659105
"Psychotic Disorders(C0033975)"	3313	"1.44414929814209e-09"	0.0003806965
"Psychotic Disorders(C0033975)"	3313	"1.44414929814209e-09"	0.0003806965
"Alcoholism(C0001973)"	1961	"1.45211529780491e-09"	0.0003827936
"Alcoholism(C0001973)"	1961	"1.45211529780491e-09"	0.0003827936
"Eating Disorders(C0013473)"	1882	"1.46122035554475e-09"	0.0003851908
"Eating Disorders(C0013473)"	1882	"1.46122035554475e-09"	0.0003851908
"Schizophrenia(C0036341)"	2502	"1.47318284727577e-09"	0.0003883413
"Schizophrenia(C0036341)"	2502	"1.47318284727577e-09"	0.0003883413
"Mood Disorders(C0525045)"	3469	"1.50060683642924e-09"	0.0003955675
"Mood Disorders(C0525045)"	3469	"1.50060683642924e-09"	0.0003955675
"Alzheimer Disease(C0002395)"	1777	"1.50289138493673e-09"	0.0003961667
"Alzheimer Disease(C0002395)"	1777	"1.50289138493673e-09"	0.0003961667
"Dementia(C0497327)"	1771	"1.50866528117679e-09"	0.0003976857
"Dementia(C0497327)"	1771	"1.50866528117679e-09"	0.0003976857
"Bipolar Disorder(C0005586)"	3317	"1.58666754753413e-09"	0.000418244
"Bipolar Disorder(C0005586)"	3317	"1.58666754753413e-09"	0.000418244
"Psychotic Disorders(C0033975)"	2560	"1.61641391699876e-09"	0.0004260819
"Psychotic Disorders(C0033975)"	2560	"1.61641391699876e-09"	0.0004260819
"CADASIL(C0751587)"	1920	"1.63516841459443e-09"	0.0004310222
"CADASIL(C0751587)"	1920	"1.63516841459443e-09"	0.0004310222
"Alzheimer Disease(C0002395)"	1771	"1.75524508934451e-09"	0.0004626703
"Alzheimer Disease(C0002395)"	1771	"1.75524508934451e-09"	0.0004626703
"Borderline Personality Disorder(C0006012)"	3342	"1.78645398881726e-09"	0.0004708932
"Borderline Personality Disorder(C0006012)"	3342	"1.78645398881726e-09"	0.0004708932
"CADASIL(C0751587)"	2506	"1.79694826388988e-09"	0.0004736558
"CADASIL(C0751587)"	2506	"1.79694826388988e-09"	0.0004736558
"Mental Retardation(C0025362)"	3340	"1.96296033510855e-09"	0.0005174108
"Mental Retardation(C0025362)"	3340	"1.96296033510855e-09"	0.0005174108
"Mood Disorders(C0525045)"	3596	"2.00242113578475e-09"	0.0005278082
"Mood Disorders(C0525045)"	3596	"2.00242113578475e-09"	0.0005278082
"Schizophrenia(C0036341)"	1998	"2.00406180679412e-09"	0.0005282366
"Schizophrenia(C0036341)"	1998	"2.00406180679412e-09"	0.0005282366
"Alzheimer Disease(C0002395)"	3674	"2.04807701664736e-09"	0.0005398342
"Alzheimer Disease(C0002395)"	3674	"2.04807701664736e-09"	0.0005398342
"Autistic Disorder(C0004352)"	2502	"2.13158758351368e-09"	0.0005618417
"Autistic Disorder(C0004352)"	2502	"2.13158758351368e-09"	0.0005618417
"Bipolar Disorder(C0005586)"	3499	"2.22032876867357e-09"	0.0005852276
"Bipolar Disorder(C0005586)"	3499	"2.22032876867357e-09"	0.0005852276
"Alcoholism(C0001973)"	3499	"2.24664294605469e-09"	0.0005921589
"Alcoholism(C0001973)"	3499	"2.24664294605469e-09"	0.0005921589
"Mood Disorders(C0525045)"	1981	"2.25591377135627e-09"	0.000594598
"Mood Disorders(C0525045)"	1981	"2.25591377135627e-09"	0.000594598
"Eating Disorders(C0013473)"	3335	"2.28236534611767e-09"	0.0006015653
"Eating Disorders(C0013473)"	3335	"2.28236534611767e-09"	0.0006015653
"Anorexia Nervosa(C0003125)"	3221	"2.35223831432644e-09"	0.0006199771
"Anorexia Nervosa(C0003125)"	3221	"2.35223831432644e-09"	0.0006199771
"Schizotypal Personality Disorder(C0036363)"	1923	"2.50046170828994e-09"	0.0006590392
"Schizotypal Personality Disorder(C0036363)"	1923	"2.50046170828994e-09"	0.0006590392
"Psychotic Disorders(C0033975)"	3321	"2.54020151711183e-09"	0.0006695082
"Psychotic Disorders(C0033975)"	3321	"2.54020151711183e-09"	0.0006695082
"Alcoholism(C0001973)"	1974	"2.54445206920823e-09"	0.0006706234
"Alcoholism(C0001973)"	1974	"2.54445206920823e-09"	0.0006706234
"Eating Disorders(C0013473)"	3596	"2.59633534875119e-09"	0.0006842927
"Eating Disorders(C0013473)"	3596	"2.59633534875119e-09"	0.0006842927
"CADASIL(C0751587)"	1769	"2.61738330738939e-09"	0.0006898349
"CADASIL(C0751587)"	1769	"2.61738330738939e-09"	0.0006898349
"Psychotic Disorders(C0033975)"	3671	"2.69931529058352e-09"	0.0007114234
"Psychotic Disorders(C0033975)"	3671	"2.69931529058352e-09"	0.0007114234
"Bipolar Disorder(C0005586)"	3250	"2.84106382178199e-09"	0.0007487766
"Bipolar Disorder(C0005586)"	3250	"2.84106382178199e-09"	0.0007487766
"Psychotic Disorders(C0033975)"	3319	"2.8583817170229e-09"	0.0007533351
"Psychotic Disorders(C0033975)"	3319	"2.8583817170229e-09"	0.0007533351
"Mood Disorders(C0525045)"	1924	"3.18842140555082e-09"	0.0008403116
"Mood Disorders(C0525045)"	1924	"3.18842140555082e-09"	0.0008403116
"Schizophrenia(C0036341)"	1923	"3.3598173054002e-09"	0.0008854765
"Schizophrenia(C0036341)"	1923	"3.3598173054002e-09"	0.0008854765
"Autistic Disorder(C0004352)"	2527	"3.43851702521088e-09"	0.0009062108
"Autistic Disorder(C0004352)"	2527	"3.43851702521088e-09"	0.0009062108
"Mood Disorders(C0525045)"	3499	"3.55017675474902e-09"	0.0009356313
"Mood Disorders(C0525045)"	3499	"3.55017675474902e-09"	0.0009356313
"Bipolar Disorder(C0005586)"	1981	"3.58888466764384e-09"	0.0009458254
"Bipolar Disorder(C0005586)"	1981	"3.58888466764384e-09"	0.0009458254
"Anorexia Nervosa(C0003125)"	1974	"3.78102549288848e-09"	0.0009964552
"Anorexia Nervosa(C0003125)"	1974	"3.78102549288848e-09"	0.0009964552
"Personality Disorders(C0031212)"	1894	"3.79363388889004e-09"	0.0009997705
"Personality Disorders(C0031212)"	1894	"3.79363388889004e-09"	0.0009997705
